carrier,shipto,sku,num_items,total_lm,truck_id,lm_used_in_truck
0,0,nan,272,136.95000000000002,0-3,136.95000000000002
0,1,nan,7,2.8000000000000003,0-4,2.8000000000000003
0,2,nan,1,0.4,0-4,3.2
1,0,nan,1,0.4,1-5,0.4
10800,0,nan,3,1.2000000000000002,10800-6,1.2000000000000002
117,0,nan,1,0.4,117-7,0.4
120,0,nan,3,14.8,120-9,14.8
144,0,nan,3,2.0,144-10,2.0
144,1,nan,1,0.4,144-10,2.4
150,0,nan,1,0.4,150-11,0.4
16,0,nan,4,2.4,16-12,2.4
17,0,nan,2,0.8,17-13,0.8
192,0,nan,6,2.4000000000000004,192-14,2.4000000000000004
2,0,nan,6,2.4000000000000004,2-15,2.4000000000000004
2000,0,nan,4,2.0,2000-16,2.0
216,0,nan,2,0.8,216-17,0.8
224,0,nan,1,1.2,224-18,1.2
24,0,nan,3,5.2,24-19,5.2
3,0,nan,1,0.4,3-20,0.4
47,0,nan,1,0.4,47-21,0.4
47,1,nan,1,1.2,47-21,1.6
5,0,nan,2,0.8,5-22,0.8
552,0,nan,3,6.8,552-23,6.8
576,0,nan,2,1.2000000000000002,576-24,1.2000000000000002
60,0,nan,2,0.8,60-25,0.8
8,0,nan,2,0.8,8-26,0.8
80,0,nan,5,3.5999999999999996,80-27,3.5999999999999996
800,0,nan,2,0.8,800-28,0.8
Geblokkeerd voor uitslag,Volgnummer,Artikel,1,0.0,Geblokkeerd voor uitslag-29,0.0
